id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
7903,Colorful modern 2 BR apt shared with host,14169,Stacy,Agassiz,42.39031,-71.09361,Private room,118,295,1,10
8521,SunsplashedSerenity walk to Harvard  Fresh Pond,306681,Janet,West Cambridge,42.38258,-71.13646,Entire homeapt,300,50,2,258
8789,Curved Glass Studio1bd facing Park,26988,Anne,East Cambridge,42.35867,-71.06307,Entire homeapt,110,25,5,279
10813,Back Bay Aptblocks to subway Newbury St The Pru,38997,Michelle,Area 2MIT,42.35061,-71.08787,Entire homeapt,135,5,11,355
10986,North End Waterfront area  CLOSE TO MGH  SUBWAY,38997,Michelle,East Cambridge,42.36377,-71.05206,Entire homeapt,135,2,11,356
11169,Lovely Studio Room Available for long weekends,40965,Judy,North Cambridge,42.3963,-71.13135,Private room,116,160,2,331
19581,Furnished suite Windsor,74249,Marc And Patty,The Port,42.36258,-71.09603,Private room,195,8,3,229
27498,Furnished suite 2  the Windsor,74249,Marc And Patty,The Port,42.36254,-71.09698,Private room,265,18,3,251
29765,Luxury suite Moroccan furnishings,128280,Elizabeth,East Cambridge,42.37754,-71.06642,Entire homeapt,226,99,1,28
34452,walk to Harvard Square Cambridge,48805,Harris,Agassiz,42.38651,-71.11023,Private room,95,142,2,256
45987,Garden Studio,205107,Atef,East Cambridge,42.37424,-71.06081,Entire homeapt,160,135,1,56
46534,Victorian Elegance on Union Squares Prospect Hill,208115,Bill,WellingtonHarrington,42.38296,-71.09332,Private room,78,954,1,176
65400,Peaceful comfy sanctuary in Bungalow near Tufts,319650,Lisa,North Cambridge,42.41403,-71.11637,Private room,139,39,1,359
67774,Corner 1 bed facing Golden Dome,26988,Anne,East Cambridge,42.35689,-71.06206,Entire homeapt,105,47,5,132
71017,Acadia Rm near Tufts and Davis Sq,361955,Nanan,North Cambridge,42.39869,-71.1034,Private room,76,51,4,264
106474,large furnished suite in Central sq,74249,Marc And Patty,The Port,42.36274,-71.09768,Private room,295,20,3,272
108898,The Treehouse    Elegant living near Harvard,306681,Janet,West Cambridge,42.38227,-71.13643,Entire homeapt,200,34,2,258
151158,Lovely Sky View BostonCambridge,727944,Emily,Agassiz,42.38226,-71.0995,Entire homeapt,195,205,2,133
154505,SHRINE OF THE RED DIAMOND Trinitas  DP,742815,Jon,East Cambridge,42.38487,-71.08643,Shared room,10,134,7,153
